Fecha:aaaamm,D4,D3,D2,D1,D0,Ano,Average D4,Average D3,Average D2,Average D1,Average D0
198001,16.7612829974454,30.755038319614,40.7749077490775,11.7087709338632,0,1980,38.2131705932444,18.632320938594,21.9912006812376,11.1170549575318,7.17155396406036
198002,84.7005393130854,9.82117513482827,5.47828555208629,0,0,1981,73.2259437978995,10.6845491531838,6.1571577254234,3.99753997539975,4.33106254139465
198003,55.7337496451888,19.6281578200397,23.9710474027817,0.667045131989781,0,1982,30.7022108682625,12.4609707635538,20.6358217428328,10.8666855899328,8.28247705553978
198004,72.6227646891854,25.2057905194437,2.17144479137099,0,0,1983,87.4846248462485,2.48486138707541,3.26781152426909,2.67527675276753,3.05610748415176
198005,43.1592392847005,30.5421515753619,26.2986091399376,0,0,1984,81.2452236948405,4.35235121581985,4.6421137288296,2.72849843883054,4.00227079193868
198006,40.0652852682373,33.8064149872268,24.5529378370707,1.14958841896111,0.425773488504116,1985,67.8328129435141,17.544233134639,11.7347904248273,2.23294540637714,0.631564007947772
198007,29.8041441952881,26.0573374964519,23.1478853250071,17.8682940675561,2.78172012489356,1986,86.1434383574605,7.91465606963762,4.42686157630807,0.884662692780773,0.630381303813038
198008,42.8044280442804,8.30258302583026,30.4144195288107,11.2546125461255,5.00993471473176,1987,61.0819377424543,14.2385750780585,12.6088087803955,6.65152805374207,4.1
198009,12.4042009650866,11.2829974453591,21.1183650298041,22.651149588419,26.0999148453023,1988,61.8542435424354,13.4083167754755,17.9286119784275,4.61609423786546,1.9
198010,26.3837638376384,12.7164348566563,29.2222537609992,19.6707351688902,12.0068123758161,1989,57.3706121676601,13.3184312612357,14.5094143249125,5.67697984672155,4.47771785410162
198011,16.6051660516605,9.43797899517457,13.6389440817485,24.1555492478002,28.2855520862901,1990,87.8855615479232,8.29075598448293,3.13298325290946,0.496735736588135,0.193963478096319
198012,17.513482827136,6.03179108714164,23.1053079761567,34.728924212319,18.6204938972467,1991,59.7584918156874,9.93353202762797,16.2976629766298,7.71123095846343,5.71719178730249
198101,91.3567981833665,8.64320181663355,0,0,0,1992,58.6053552843221,5.74321127826663,16.7,10.3,6.5
198102,72.6653420380358,15.6400794777179,11.4533068407607,0.241271643485666,0,1993,78.1956665720504,12.0777746239001,8.2339861860157,1.25011827041347,0.242454347620399
198103,100,0,0,0,0,1994,33.4705270129624,14.8523985239852,28.9868956381872,8.54385466931592,8.37472797804901
198104,99.3329548680102,0.667045131989781,0,0,0,1995,47.144952218753,12.4526918346106,20.3602516794399,10.9908695240798,6.22102374869903
198105,100,0,0,0,0,1996,30.4333427949664,14.2243826284417,17.7985145236068,12.3344214211373,12.9730816538935
198106,99.9716151007664,0.028384899233608,0,0,0,1997,49.5233702337023,11.1517172864036,28.5930551613209,7.58941243258587,2.24832056012868
198107,93.0315072381493,3.59068975305138,3.26426341186489,0.113539596934431,0,1998,46.1479326331725,12.340334941811,24.3270413473365,11.5242690888447,4.60781530892232
