"","Ano","Average D4","Average D3","Average D2","Average D1","Average D0"
"1",2006,43.5850127732047,7.84251111741887,12.9257734885041,14.5318857034724,11.5006150061501
"2",2007,53.4795155643864,17.58444507522,20.0503831961397,6.08737818147412,2.6634497114202
"3",2008,47.4382628441669,19.7925536947677,12.6017125555871,2.16671397483205,7.76800075693065
"4",2009,43.001939634781,17.8257167187057,26.6238527769893,7.82713596366733,3.26899422840383
"5",2010,56.6574415744157,9.17778408553316,12.0706783990917,9.83536758444507,7.29491910303719
"6",2011,31.6503453496074,7.65209575172675,16.4644242596272,19.9096414041064,8.8135112120352
"7",2012,40.6767433058946,17.8008799318762,24.5328318667802,10.3037184217996,4.97800170309395
"8",2013,41.3083073138424,14.8027249503264,26.37666761283,9.92880121108904,5.19207115148075
"9",2014,40.0913047592014,7.30201532784559,18.3330967925064,12.317863563251,12.7649257261803
"10",2015,81.3073611505346,8.73781814741225,8.45515185921089,1.00648121865834,0.4
"11",2016,46.8362664395875,15.9700539313086,22.0550667045132,9.23928470053931,5.07380073800738
"12",2017,39.8772353108146,15.0723814930457,18.7766108430315,12.2977575929605,10.3060838300691
"13",2018,50.5475920143817,9.92525309868484,13.2309111552654,7.64145141451415,7.71596177500237
"14",2019,70.4666950515659,8.97790708676318,12.1321790140978,2.72968114296528,2.23531081464661
